year,n small,n medium,n large
2000,8090,4350,966
2001,8178,4239,989
2002,8302,4180,924
2003,8327,4122,957
2004,8359,4055,992
2005,8369,4012,1025
2006,8383,3987,1036
2007,8410,3922,1074
2008,8423,3864,1119
2009,8466,3813,1127
2010,8540,3754,1112
2011,8597,3679,1130
2012,8629,3605,1172
