year,n small,n medium,n large
2000,8014,4404,988
2001,7953,4422,1031
2002,7951,4440,1015
2003,7901,4448,1057
2004,7833,4461,1112
2005,7768,4471,1167
2006,7717,4475,1214
2007,7655,4476,1275
2008,7604,4452,1350
2009,7547,4468,1391
2010,7529,4469,1408
2011,7481,4442,1483
2012,7420,4428,1558
