year,n small,n medium,n large
2000,8427,4188,791
2001,8807,3890,709
2002,9136,3648,622
2003,9349,3444,613
2004,9481,3300,625
2005,9555,3209,642
2006,9631,3137,638
2007,9722,3019,665
2008,9829,2903,674
2009,9924,2813,669
2010,10054,2715,637
2011,10130,2639,637
2012,10173,2578,655
