year,n small,n medium,n large
2000,8041,4388,977
2001,7960,4417,1029
2002,7962,4434,1010
2003,7900,4460,1046
2004,7812,4489,1105
2005,7731,4505,1170
2006,7672,4525,1209
2007,7599,4544,1263
2008,7519,4539,1348
2009,7442,4580,1384
2010,7438,4583,1385
2011,7369,4588,1449
2012,7294,4586,1526
