year,n cattle,n beef,n dairy
2000,1860908,879669,564612
2001,1885183,895686,572870
2002,1878314,897894,563793
2003,1895461,913914,564920
2004,1921101,931275,573199
2005,1947043,948689,581727
2006,1964665,966461,581577
2007,1991139,984556,589956
2008,2017206,1002695,597884
2009,2036309,1021141,598541
2010,2038184,1022187,599370
2011,2064616,1040584,607405
2012,2091464,1059777,615060
