year,n small,n medium,n large
2000,8439,4181,786
2001,8827,3879,700
2002,9168,3633,605
2003,9392,3423,591
2004,9520,3287,599
2005,9586,3209,611
2006,9668,3130,608
2007,9753,3021,632
2008,9856,2909,641
2009,9949,2816,641
2010,10079,2716,611
2011,10149,2648,609
2012,10201,2585,620
