year,n cattle,n beef,n dairy
2000,1862666,880750,565289
2001,1890691,899408,574656
2002,1887095,904190,566278
2003,1909190,923767,568796
2004,1940818,945280,578911
2005,1973921,967690,589604
2006,1999244,991145,591472
2007,2034970,1015651,602692
2008,2071113,1040826,613660
2009,2098301,1067246,614428
2010,2105220,1073150,615443
2011,2145296,1101208,627461
2012,2187606,1131402,639577
