year,n small,n medium,n large
2000,8190,4317,899
2001,8279,4221,906
2002,8402,4138,866
2003,8428,4083,895
2004,8441,4039,926
2005,8441,4002,963
2006,8467,3972,967
2007,8490,3911,1005
2008,8499,3856,1051
2009,8553,3790,1063
2010,8624,3732,1050
2011,8666,3664,1076
2012,8704,3589,1113
