year,n cattle,n beef,n dairy
2000,1862552,880678,565247
2001,1890555,899318,574610
2002,1886872,904069,566176
2003,1908856,923574,568655
2004,1940271,944984,578660
2005,1973025,967199,589199
2006,1997700,990354,590719
2007,2032869,1014522,601720
2008,2068382,1039336,612419
2009,2095111,1065329,613155
2010,2101129,1070380,614122
2011,2140219,1097849,625743
2012,2181357,1127389,637341
