year,n small,n medium,n large
2000,8431,4184,791
2001,8808,3893,705
2002,9146,3645,615
2003,9362,3439,605
2004,9479,3308,619
2005,9560,3215,631
2006,9634,3137,635
2007,9726,3024,656
2008,9834,2904,668
2009,9926,2813,667
2010,10056,2721,629
2011,10118,2657,631
2012,10169,2593,644
