year,n small,n medium,n large
2000,8189,4318,899
2001,8276,4225,905
2002,8397,4146,863
2003,8424,4089,893
2004,8439,4042,925
2005,8438,4009,959
2006,8461,3981,964
2007,8483,3915,1008
2008,8497,3853,1056
2009,8543,3791,1072
2010,8610,3738,1058
2011,8657,3676,1073
2012,8692,3606,1108
