year,n small,n medium,n large
2000,8020,4402,984
2001,7967,4413,1026
2002,7968,4430,1008
2003,7928,4438,1040
2004,7877,4449,1080
2005,7828,4455,1123
2006,7787,4466,1153
2007,7736,4467,1203
2008,7699,4446,1261
2009,7652,4465,1289
2010,7640,4474,1292
2011,7603,4461,1342
2012,7555,4466,1385
