year,n cattle,n beef,n dairy
2000,1798520,845182,537333
2001,1785398,838533,531164
2002,1746978,825270,506192
2003,1742150,827039,499709
2004,1745004,829982,499740
2005,1747720,832820,499765
2006,1743685,835478,493205
2007,1746984,837864,494247
2008,1753833,842653,496412
2009,1750185,844987,490589
2010,1732489,833246,484783
2011,1731102,833077,483712
2012,1733678,835998,483470
