year,n cattle,n beef,n dairy
2000,1798557,844970,537600
2001,1786975,839525,531791
2002,1749911,827379,507074
2003,1747824,831345,501143
2004,1754222,836897,502113
2005,1760806,842395,503362
2006,1760106,847979,497232
2007,1767148,853060,499348
2008,1778094,860821,502663
2009,1775445,865318,495707
2010,1755259,852337,488695
2011,1756981,854556,488392
2012,1765402,861489,490006
