year,n small,n medium,n large
2000,8034,4388,984
2001,7847,4453,1106
2002,7831,4477,1098
2003,7694,4518,1194
2004,7517,4546,1343
2005,7356,4552,1498
2006,7224,4570,1612
2007,7052,4562,1792
2008,6875,4536,1995
2009,6738,4549,2119
2010,6712,4535,2159
2011,6526,4481,2399
2012,6358,4378,2670
