year,n small,n medium,n large
2000,8439,4183,784
2001,8821,3886,699
2002,9158,3645,603
2003,9376,3439,591
2004,9506,3300,600
2005,9587,3207,612
2006,9678,3113,615
2007,9768,3000,638
2008,9884,2873,649
2009,9968,2794,644
2010,10090,2700,616
2011,10157,2637,612
2012,10215,2569,622
