year,n small,n medium,n large
2000,8013,4402,991
2001,7955,4417,1034
2002,7953,4436,1017
2003,7907,4445,1054
2004,7845,4464,1097
2005,7791,4469,1146
2006,7746,4475,1185
2007,7690,4470,1246
2008,7646,4452,1308
2009,7604,4463,1339
2010,7585,4477,1344
2011,7547,4450,1409
2012,7500,4434,1472
