year,n cattle,n beef,n dairy
2000,1849331,870451,562253
2001,1887441,897331,573483
2002,1881486,903030,561829
2003,1911404,931354,563423
2004,1966487,960876,588984
2005,2024193,991889,615677
2006,2056710,1024379,615704
2007,2103213,1058431,628155
2008,2152139,1094311,641201
2009,2189550,1131722,641201
2010,2190697,1132869,641201
2011,2259138,1172257,670254
2012,2313750,1213495,683628
