year,n small,n medium,n large
2000,8203,4310,893
2001,8292,4214,900
2002,8430,4124,852
2003,8456,4076,874
2004,8475,4033,898
2005,8482,3994,930
2006,8507,3962,937
2007,8530,3905,971
2008,8543,3853,1010
2009,8590,3793,1023
2010,8666,3732,1008
2011,8702,3681,1023
2012,8738,3606,1062
