year,n cattle,n beef,n dairy
2000,1851836,872393,562816
2001,1886975,896962,573386
2002,1881114,902004,562483
2003,1907696,927186,563883
2004,1944100,953188,574285
2005,1981472,979896,584949
2006,2008964,1007418,584919
2007,2048009,1035615,595767
2008,2088327,1064808,606892
2009,2118054,1094460,606967
2010,2119298,1095568,607103
2011,2159903,1125191,618085
2012,2200468,1155387,628454
