year,n small,n medium,n large
2000,8028,4393,985
2001,7859,4452,1095
2002,7844,4473,1089
2003,7726,4498,1182
2004,7576,4518,1312
2005,7439,4511,1456
2006,7329,4529,1548
2007,7166,4549,1691
2008,7030,4537,1839
2009,6922,4533,1951
2010,6903,4522,1981
2011,6736,4495,2175
2012,6608,4443,2355
