year,n cattle,n beef,n dairy
2000,1692461,774272,503437
2001,1593014,708946,470422
2002,1487617,649462,425223
2003,1431462,618059,400988
2004,1395169,595666,387473
2005,1369434,579706,377995
2006,1340216,565944,362822
2007,1321091,554183,355712
2008,1299548,542078,346548
2009,1277762,533144,333928
2010,1239347,509306,319624
2011,1225102,501229,313657
2012,1218482,498545,309835
