year,n small,n medium,n large
2000,8458,4167,781
2001,8863,3858,685
2002,9232,3582,592
2003,9467,3360,579
2004,9607,3197,602
2005,9698,3092,616
2006,9775,3012,619
2007,9874,2894,638
2008,9986,2765,655
2009,10095,2650,661
2010,10259,2546,601
2011,10340,2460,606
2012,10402,2382,622
