year,n small,n medium,n large
2000,8032,4392,982
2001,7847,4456,1103
2002,7834,4481,1091
2003,7702,4515,1189
2004,7526,4532,1348
2005,7364,4548,1494
2006,7225,4576,1605
2007,7044,4573,1789
2008,6872,4543,1991
2009,6743,4533,2130
2010,6708,4539,2159
2011,6537,4449,2420
2012,6378,4347,2681
