year,n small,n medium,n large
2000,8027,4394,985
2001,7860,4448,1098
2002,7850,4463,1093
2003,7735,4490,1181
2004,7579,4522,1305
2005,7454,4515,1437
2006,7334,4542,1530
2007,7180,4544,1682
2008,7044,4512,1850
2009,6940,4519,1947
2010,6912,4520,1974
2011,6771,4456,2179
2012,6636,4403,2367
