year,n small,n medium,n large
2000,8435,4187,784
2001,8810,3900,696
2002,9154,3648,604
2003,9370,3445,591
2004,9500,3305,601
2005,9584,3214,608
2006,9662,3133,611
2007,9753,3020,633
2008,9856,2908,642
2009,9948,2822,636
2010,10073,2726,607
2011,10155,2645,606
2012,10192,2590,624
