year,n small,n medium,n large
2000,8448,4170,788
2001,8831,3873,702
2002,9171,3629,606
2003,9389,3424,593
2004,9511,3295,600
2005,9584,3209,613
2006,9668,3125,613
2007,9748,3024,634
2008,9852,2914,640
2009,9942,2830,634
2010,10071,2731,604
2011,10141,2662,603
2012,10200,2583,623
