year,n cattle,n beef,n dairy
2000,1683144,767338,501211
2001,1578828,698536,466896
2002,1469719,636583,420508
2003,1411539,603896,395563
2004,1374817,581042,382084
2005,1347576,564522,371680
2006,1316004,550288,354669
2007,1295428,537879,346798
2008,1271603,525432,335734
2009,1246212,515902,320140
2010,1190335,483420,297075
2011,1174560,474674,290282
2012,1169168,473262,286439
