year,n small,n medium,n large
2000,8176,4325,905
2001,8262,4233,911
2002,8362,4162,882
2003,8381,4117,908
2004,8401,4061,944
2005,8403,4025,978
2006,8418,4010,978
2007,8448,3943,1015
2008,8461,3895,1050
2009,8501,3842,1063
2010,8573,3777,1056
2011,8612,3712,1082
2012,8643,3654,1109
