year,n cattle,n beef,n dairy
2000,1860940,879685,564628
2001,1885211,895727,572857
2002,1878416,897991,563798
2003,1895557,914010,564920
2004,1921156,931330,573199
2005,1947339,948900,581812
2006,1965283,966928,581728
2007,1992300,985441,590232
2008,2018880,1003997,598256
2009,2038422,1022924,598871
2010,2040179,1023888,599664
2011,2067252,1042795,607830
2012,2094610,1062368,615615
