year,n cattle,n beef,n dairy
2000,1797884,844754,537130
2001,1784689,838058,530943
2002,1746079,824740,505842
2003,1741268,826554,499332
2004,1744732,829938,499524
2005,1747939,833066,499756
2006,1744456,836414,493067
2007,1748138,839235,494060
2008,1755141,844183,496228
2009,1751612,846366,490671
2010,1733844,834354,485075
2011,1732819,834470,484094
2012,1736488,838051,484276
