year,n small,n medium,n large
2000,8041,4386,979
2001,7961,4416,1029
2002,7963,4435,1008
2003,7904,4456,1046
2004,7818,4478,1110
2005,7730,4507,1169
2006,7675,4523,1208
2007,7601,4538,1267
2008,7527,4529,1350
2009,7451,4568,1387
2010,7443,4574,1389
2011,7378,4569,1459
2012,7292,4589,1525
